x y mesh_f
7.399999999999999911e-01 3.901015254455221237e-01 0.000000000000000000e+00
7.399999999999999911e-01 3.702030508910442164e-01 0.000000000000000000e+00
7.600000000000000089e-01 3.702030508910442164e-01 0.000000000000000000e+00
7.500000000000000000e-01 3.901015254455221237e-01 0.000000000000000000e+00
7.399999999999999911e-01 3.801522881682831700e-01 0.000000000000000000e+00
7.500000000000000000e-01 3.702030508910442164e-01 0.000000000000000000e+00
7.600000000000000089e-01 3.801522881682831700e-01 0.000000000000000000e+00
7.500000000000000000e-01 3.801522881682831700e-01 0.000000000000000000e+00
7.399999999999999911e-01 3.901015254455221237e-01 0.000000000000000000e+00
7.199999999999999734e-01 3.901015254455221237e-01 0.000000000000000000e+00
7.199999999999999734e-01 4.099999999999999756e-01 0.000000000000000000e+00
7.399999999999999911e-01 4.099999999999999756e-01 0.000000000000000000e+00
7.299999999999999822e-01 3.901015254455221237e-01 0.000000000000000000e+00
7.199999999999999734e-01 4.000507627227610774e-01 0.000000000000000000e+00
7.299999999999999822e-01 4.099999999999999756e-01 0.000000000000000000e+00
7.399999999999999911e-01 4.000507627227610774e-01 0.000000000000000000e+00
7.299999999999999822e-01 4.000507627227610774e-01 0.000000000000000000e+00
8.800000000000000044e-01 2.353553390593273731e-01 0.000000000000000000e+00
8.999999999999999112e-01 2.353553390593273731e-01 0.000000000000000000e+00
8.999999999999999112e-01 2.099999999999999922e-01 0.000000000000000000e+00
8.800000000000000044e-01 2.099999999999999922e-01 0.000000000000000000e+00
8.899999999999999023e-01 2.353553390593273731e-01 0.000000000000000000e+00
8.999999999999999112e-01 2.226776695296636688e-01 0.000000000000000000e+00
8.899999999999999023e-01 2.099999999999999922e-01 0.000000000000000000e+00
8.800000000000000044e-01 2.226776695296636688e-01 0.000000000000000000e+00
8.899999999999999023e-01 2.226776695296636688e-01 0.000000000000000000e+00
8.800000000000000044e-01 2.353553390593273731e-01 0.000000000000000000e+00
8.599999999999999867e-01 2.353553390593273731e-01 0.000000000000000000e+00
8.599999999999999867e-01 2.530330085889910818e-01 0.000000000000000000e+00
8.800000000000000044e-01 2.530330085889910818e-01 0.000000000000000000e+00
8.699999999999999956e-01 2.353553390593273731e-01 0.000000000000000000e+00
8.599999999999999867e-01 2.441941738241592275e-01 0.000000000000000000e+00
8.699999999999999956e-01 2.530330085889910818e-01 0.000000000000000000e+00
8.800000000000000044e-01 2.441941738241592275e-01 0.000000000000000000e+00
8.699999999999999956e-01 2.441941738241592275e-01 0.000000000000000000e+00
8.599999999999999867e-01 2.707106781186547906e-01 0.000000000000000000e+00
8.399999999999999689e-01 2.707106781186547906e-01 0.000000000000000000e+00
8.399999999999999689e-01 2.530330085889910818e-01 0.000000000000000000e+00
8.599999999999999867e-01 2.530330085889910818e-01 0.000000000000000000e+00
8.499999999999999778e-01 2.707106781186547906e-01 0.000000000000000000e+00
8.399999999999999689e-01 2.618718433538229640e-01 0.000000000000000000e+00
8.499999999999999778e-01 2.530330085889910818e-01 0.000000000000000000e+00
8.599999999999999867e-01 2.618718433538229640e-01 0.000000000000000000e+00
8.499999999999999778e-01 2.618718433538229640e-01 0.000000000000000000e+00
8.399999999999999689e-01 2.906091526731326979e-01 0.000000000000000000e+00
8.199999999999999512e-01 2.906091526731326979e-01 0.000000000000000000e+00
8.199999999999999512e-01 2.707106781186547906e-01 0.000000000000000000e+00
8.399999999999999689e-01 2.707106781186547906e-01 0.000000000000000000e+00
8.299999999999999600e-01 2.906091526731326979e-01 0.000000000000000000e+00
8.199999999999999512e-01 2.806599153958937443e-01 0.000000000000000000e+00
8.299999999999999600e-01 2.707106781186547906e-01 0.000000000000000000e+00
8.399999999999999689e-01 2.806599153958937443e-01 0.000000000000000000e+00
8.299999999999999600e-01 2.806599153958937443e-01 0.000000000000000000e+00
8.199999999999999512e-01 3.105076272276105498e-01 0.000000000000000000e+00
8.000000000000000444e-01 3.105076272276105498e-01 0.000000000000000000e+00
8.000000000000000444e-01 2.906091526731326979e-01 0.000000000000000000e+00
8.199999999999999512e-01 2.906091526731326979e-01 0.000000000000000000e+00
8.100000000000000533e-01 3.105076272276105498e-01 0.000000000000000000e+00
8.000000000000000444e-01 3.005583899503716516e-01 0.000000000000000000e+00
8.100000000000000533e-01 2.906091526731326979e-01 0.000000000000000000e+00
8.199999999999999512e-01 3.005583899503716516e-01 0.000000000000000000e+00
8.100000000000000533e-01 3.005583899503716516e-01 0.000000000000000000e+00
8.000000000000000444e-01 3.304061017820884572e-01 0.000000000000000000e+00
7.800000000000000266e-01 3.304061017820884572e-01 0.000000000000000000e+00
7.800000000000000266e-01 3.105076272276105498e-01 0.000000000000000000e+00
8.000000000000000444e-01 3.105076272276105498e-01 0.000000000000000000e+00
7.900000000000000355e-01 3.304061017820884572e-01 0.000000000000000000e+00
7.800000000000000266e-01 3.204568645048495035e-01 0.000000000000000000e+00
7.900000000000000355e-01 3.105076272276105498e-01 0.000000000000000000e+00
8.000000000000000444e-01 3.204568645048495035e-01 0.000000000000000000e+00
7.900000000000000355e-01 3.204568645048495035e-01 0.000000000000000000e+00
7.800000000000000266e-01 3.503045763365663090e-01 0.000000000000000000e+00
7.600000000000000089e-01 3.503045763365663090e-01 0.000000000000000000e+00
7.600000000000000089e-01 3.304061017820884572e-01 0.000000000000000000e+00
7.800000000000000266e-01 3.304061017820884572e-01 0.000000000000000000e+00
7.700000000000000178e-01 3.503045763365663090e-01 0.000000000000000000e+00
7.600000000000000089e-01 3.403553390593273553e-01 0.000000000000000000e+00
7.700000000000000178e-01 3.304061017820884572e-01 0.000000000000000000e+00
7.800000000000000266e-01 3.403553390593273553e-01 0.000000000000000000e+00
7.700000000000000178e-01 3.403553390593273553e-01 0.000000000000000000e+00
7.600000000000000089e-01 3.702030508910442164e-01 0.000000000000000000e+00
7.399999999999999911e-01 3.702030508910442164e-01 0.000000000000000000e+00
7.399999999999999911e-01 3.503045763365663090e-01 0.000000000000000000e+00
7.600000000000000089e-01 3.503045763365663090e-01 0.000000000000000000e+00
7.500000000000000000e-01 3.702030508910442164e-01 0.000000000000000000e+00
7.399999999999999911e-01 3.602538136138052627e-01 0.000000000000000000e+00
7.500000000000000000e-01 3.503045763365663090e-01 0.000000000000000000e+00
7.600000000000000089e-01 3.602538136138052627e-01 0.000000000000000000e+00
7.500000000000000000e-01 3.602538136138052627e-01 0.000000000000000000e+00
7.399999999999999911e-01 3.901015254455221237e-01 0.000000000000000000e+00
7.199999999999999734e-01 3.901015254455221237e-01 0.000000000000000000e+00
7.199999999999999734e-01 3.702030508910442164e-01 0.000000000000000000e+00
7.399999999999999911e-01 3.702030508910442164e-01 0.000000000000000000e+00
7.299999999999999822e-01 3.901015254455221237e-01 0.000000000000000000e+00
7.199999999999999734e-01 3.801522881682831700e-01 0.000000000000000000e+00
7.299999999999999822e-01 3.702030508910442164e-01 0.000000000000000000e+00
7.399999999999999911e-01 3.801522881682831700e-01 0.000000000000000000e+00
7.299999999999999822e-01 3.801522881682831700e-01 0.000000000000000000e+00
7.199999999999999734e-01 3.901015254455221237e-01 0.000000000000000000e+00
6.999999999999999556e-01 3.901015254455221237e-01 0.000000000000000000e+00
6.999999999999999556e-01 4.099999999999999756e-01 0.000000000000000000e+00
7.199999999999999734e-01 4.099999999999999756e-01 0.000000000000000000e+00
7.099999999999999645e-01 3.901015254455221237e-01 0.000000000000000000e+00
6.999999999999999556e-01 4.000507627227610774e-01 0.000000000000000000e+00
7.099999999999999645e-01 4.099999999999999756e-01 0.000000000000000000e+00
7.199999999999999734e-01 4.000507627227610774e-01 0.000000000000000000e+00
7.099999999999999645e-01 4.000507627227610774e-01 0.000000000000000000e+00
8.800000000000000044e-01 2.353553390593273731e-01 0.000000000000000000e+00
8.599999999999999867e-01 2.353553390593273731e-01 0.000000000000000000e+00
8.599999999999999867e-01 2.099999999999999922e-01 0.000000000000000000e+00
8.800000000000000044e-01 2.099999999999999922e-01 0.000000000000000000e+00
8.699999999999999956e-01 2.353553390593273731e-01 0.000000000000000000e+00
8.599999999999999867e-01 2.226776695296636688e-01 0.000000000000000000e+00
8.699999999999999956e-01 2.099999999999999922e-01 0.000000000000000000e+00
8.800000000000000044e-01 2.226776695296636688e-01 0.000000000000000000e+00
8.699999999999999956e-01 2.226776695296636688e-01 0.000000000000000000e+00
8.599999999999999867e-01 2.353553390593273731e-01 0.000000000000000000e+00
8.399999999999999689e-01 2.353553390593273731e-01 0.000000000000000000e+00
8.399999999999999689e-01 2.530330085889910818e-01 0.000000000000000000e+00
8.599999999999999867e-01 2.530330085889910818e-01 0.000000000000000000e+00
8.499999999999999778e-01 2.353553390593273731e-01 0.000000000000000000e+00
8.399999999999999689e-01 2.441941738241592275e-01 0.000000000000000000e+00
8.499999999999999778e-01 2.530330085889910818e-01 0.000000000000000000e+00
8.599999999999999867e-01 2.441941738241592275e-01 0.000000000000000000e+00
8.499999999999999778e-01 2.441941738241592275e-01 0.000000000000000000e+00
8.399999999999999689e-01 2.707106781186547906e-01 0.000000000000000000e+00
8.199999999999999512e-01 2.707106781186547906e-01 0.000000000000000000e+00
8.199999999999999512e-01 2.530330085889910818e-01 0.000000000000000000e+00
8.399999999999999689e-01 2.530330085889910818e-01 0.000000000000000000e+00
8.299999999999999600e-01 2.707106781186547906e-01 0.000000000000000000e+00
8.199999999999999512e-01 2.618718433538229640e-01 0.000000000000000000e+00
8.299999999999999600e-01 2.530330085889910818e-01 0.000000000000000000e+00
8.399999999999999689e-01 2.618718433538229640e-01 0.000000000000000000e+00
8.299999999999999600e-01 2.618718433538229640e-01 0.000000000000000000e+00
8.199999999999999512e-01 2.906091526731326979e-01 0.000000000000000000e+00
8.000000000000000444e-01 2.906091526731326979e-01 0.000000000000000000e+00
8.000000000000000444e-01 2.707106781186547906e-01 0.000000000000000000e+00
8.199999999999999512e-01 2.707106781186547906e-01 0.000000000000000000e+00
8.100000000000000533e-01 2.906091526731326979e-01 0.000000000000000000e+00
8.000000000000000444e-01 2.806599153958937443e-01 0.000000000000000000e+00
8.100000000000000533e-01 2.707106781186547906e-01 0.000000000000000000e+00
8.199999999999999512e-01 2.806599153958937443e-01 0.000000000000000000e+00
8.100000000000000533e-01 2.806599153958937443e-01 0.000000000000000000e+00
8.000000000000000444e-01 3.105076272276105498e-01 0.000000000000000000e+00
7.800000000000000266e-01 3.105076272276105498e-01 0.000000000000000000e+00
7.800000000000000266e-01 2.906091526731326979e-01 0.000000000000000000e+00
8.000000000000000444e-01 2.906091526731326979e-01 0.000000000000000000e+00
7.900000000000000355e-01 3.105076272276105498e-01 0.000000000000000000e+00
7.800000000000000266e-01 3.005583899503716516e-01 0.000000000000000000e+00
7.900000000000000355e-01 2.906091526731326979e-01 0.000000000000000000e+00
8.000000000000000444e-01 3.005583899503716516e-01 0.000000000000000000e+00
7.900000000000000355e-01 3.005583899503716516e-01 0.000000000000000000e+00
7.800000000000000266e-01 3.304061017820884572e-01 0.000000000000000000e+00
7.600000000000000089e-01 3.304061017820884572e-01 0.000000000000000000e+00
7.600000000000000089e-01 3.105076272276105498e-01 0.000000000000000000e+00
7.800000000000000266e-01 3.105076272276105498e-01 0.000000000000000000e+00
7.700000000000000178e-01 3.304061017820884572e-01 0.000000000000000000e+00
7.600000000000000089e-01 3.204568645048495035e-01 0.000000000000000000e+00
7.700000000000000178e-01 3.105076272276105498e-01 0.000000000000000000e+00
7.800000000000000266e-01 3.204568645048495035e-01 0.000000000000000000e+00
7.700000000000000178e-01 3.204568645048495035e-01 0.000000000000000000e+00
7.600000000000000089e-01 3.503045763365663090e-01 0.000000000000000000e+00
7.399999999999999911e-01 3.503045763365663090e-01 0.000000000000000000e+00
7.399999999999999911e-01 3.304061017820884572e-01 0.000000000000000000e+00
7.600000000000000089e-01 3.304061017820884572e-01 0.000000000000000000e+00
7.500000000000000000e-01 3.503045763365663090e-01 0.000000000000000000e+00
7.399999999999999911e-01 3.403553390593273553e-01 0.000000000000000000e+00
7.500000000000000000e-01 3.304061017820884572e-01 0.000000000000000000e+00
7.600000000000000089e-01 3.403553390593273553e-01 0.000000000000000000e+00
7.500000000000000000e-01 3.403553390593273553e-01 0.000000000000000000e+00
7.399999999999999911e-01 3.702030508910442164e-01 0.000000000000000000e+00
7.199999999999999734e-01 3.702030508910442164e-01 0.000000000000000000e+00
7.199999999999999734e-01 3.503045763365663090e-01 0.000000000000000000e+00
7.399999999999999911e-01 3.503045763365663090e-01 0.000000000000000000e+00
7.299999999999999822e-01 3.702030508910442164e-01 0.000000000000000000e+00
7.199999999999999734e-01 3.602538136138052627e-01 0.000000000000000000e+00
7.299999999999999822e-01 3.503045763365663090e-01 0.000000000000000000e+00
7.399999999999999911e-01 3.602538136138052627e-01 0.000000000000000000e+00
7.299999999999999822e-01 3.602538136138052627e-01 0.000000000000000000e+00
7.199999999999999734e-01 3.901015254455221237e-01 0.000000000000000000e+00
6.999999999999999556e-01 3.901015254455221237e-01 0.000000000000000000e+00
6.999999999999999556e-01 3.702030508910442164e-01 0.000000000000000000e+00
7.199999999999999734e-01 3.702030508910442164e-01 0.000000000000000000e+00
7.099999999999999645e-01 3.901015254455221237e-01 0.000000000000000000e+00
6.999999999999999556e-01 3.801522881682831700e-01 0.000000000000000000e+00
7.099999999999999645e-01 3.702030508910442164e-01 0.000000000000000000e+00
7.199999999999999734e-01 3.801522881682831700e-01 0.000000000000000000e+00
7.099999999999999645e-01 3.801522881682831700e-01 0.000000000000000000e+00
6.999999999999999556e-01 3.901015254455221237e-01 0.000000000000000000e+00
6.799999999999999378e-01 3.901015254455221237e-01 0.000000000000000000e+00
6.799999999999999378e-01 4.099999999999999756e-01 0.000000000000000000e+00
6.999999999999999556e-01 4.099999999999999756e-01 0.000000000000000000e+00
6.899999999999999467e-01 3.901015254455221237e-01 0.000000000000000000e+00
6.799999999999999378e-01 4.000507627227610774e-01 0.000000000000000000e+00
6.899999999999999467e-01 4.099999999999999756e-01 0.000000000000000000e+00
6.999999999999999556e-01 4.000507627227610774e-01 0.000000000000000000e+00
6.899999999999999467e-01 4.000507627227610774e-01 0.000000000000000000e+00
8.599999999999999867e-01 2.353553390593273731e-01 0.000000000000000000e+00
8.399999999999999689e-01 2.353553390593273731e-01 0.000000000000000000e+00
8.399999999999999689e-01 2.099999999999999922e-01 0.000000000000000000e+00
8.599999999999999867e-01 2.099999999999999922e-01 0.000000000000000000e+00
8.499999999999999778e-01 2.353553390593273731e-01 0.000000000000000000e+00
8.399999999999999689e-01 2.226776695296636688e-01 0.000000000000000000e+00
8.499999999999999778e-01 2.099999999999999922e-01 0.000000000000000000e+00
8.599999999999999867e-01 2.226776695296636688e-01 0.000000000000000000e+00
8.499999999999999778e-01 2.226776695296636688e-01 0.000000000000000000e+00
8.399999999999999689e-01 2.353553390593273731e-01 0.000000000000000000e+00
8.199999999999999512e-01 2.353553390593273731e-01 0.000000000000000000e+00
8.199999999999999512e-01 2.530330085889910818e-01 0.000000000000000000e+00
8.399999999999999689e-01 2.530330085889910818e-01 0.000000000000000000e+00
8.299999999999999600e-01 2.353553390593273731e-01 0.000000000000000000e+00
8.199999999999999512e-01 2.441941738241592275e-01 0.000000000000000000e+00
